kyrBP;co2(ppm);co2Uncertainty(1sd, ppm)
213000;247,5690471;6,981281944
214000;246,5204828;6,483035526
215000;244,7445222;5,592204492
216000;244,8673813;5,250398659
217000;246,3588661;5,286135573
218000;246,5066752;6,145236157
219000;242,4575078;10,76620609
220000;229,4685462;15,52985693
221000;216,6656048;10,56014889
222000;211,8308443;6,160081086
223000;209,3345275;4,827988323
224000;207,6515078;4,490681885
225000;208,1206096;7,423685282
226000;213,4919527;12,11580156
227000;221,4826482;13,35239024
228000;228,0563013;10,55022581
229000;230,3739557;7,104816972
230000;230,524589;5,683774462
231000;232,4365861;5,519226006
232000;235,2872207;5,37393903
233000;237,5665492;5,353466263
234000;241,1364377;6,052000818
235000;245,6850544;5,389367315
236000;246,0824888;5,082984184
237000;245,2903156;5,02431877
238000;244,7753558;4,925368522
239000;245,9839945;5,700985104
240000;249,8150583;8,053565775
241000;257,409832;10,97601257
242000;265,8713783;11,39730501
243000;267,604856;12,4888581
244000;259,8845271;15,5073181
245000;248,6422444;15,72478126
246000;238,4737597;14,37947326
247000;229,8133133;12,29470868
248000;221,6361977;9,555724039
249000;214,9398134;7,044278305
250000;209,3998257;7,930395548
251000;205,3104922;8,172117213
252000;203,2483236;8,459784959
253000;200,4650348;7,986375853
254000;197,8822434;6,031244344
255000;197,5051079;4,379290868
256000;199,4472908;4,114704672
257000;201,3744397;3,824637841
258000;202,814182;3,623932782
259000;204,4200834;3,794262773
260000;206,4347214;4,104457171
261000;208,1137138;4,309840679
262000;209,9150266;5,300196008
263000;213,3785421;7,614537629
264000;217,8789671;10,18528326
265000;215,5109244;12,9494811
266000;208,2111028;12,38796731
267000;201,9798868;11,4473306
268000;195,6218544;10,47651163
269000;192,151024;7,43850257
270000;192,6002599;5,998757622
271000;192,804065;6,376181622
272000;191,033819;6,362956805
273000;190,6760917;5,280276887
274000;192,3946144;4,464809987
275000;194,3421356;4,003405056
276000;195,7057855;4,038945013
277000;196,7732171;4,774383498
278000;199,2394258;5,93335861
279000;203,4082775;6,447388325
280000;208,0214365;6,622831037
281000;212,6759981;6,899163947
282000;217,5897056;7,169139352
283000;223,0628201;7,003725615
284000;227,7767543;5,387592308
285000;228,9639911;3,888153996
286000;228,8262127;3,629119445
287000;229,4045481;3,650535633
288000;230,1780116;3,795125879
289000;230,0219927;5,452140854
290000;226,9388367;8,258820351
291000;221,7878674;9,343199393
292000;215,4351452;8,950273457
293000;209,9222906;6,481881559
294000;208,2603716;4,478542217
295000;209,3781168;4,380405802
296000;211,5310759;4,353098736
297000;214,3755829;5,124941318
298000;218,9599;6,760268314
299000;223,7653836;7,461513217
300000;228,4774958;7,564041819
301000;233,2095243;6,509050147
302000;236,4908754;4,689964
303000;238,2054493;4,163242327
304000;240,3882717;5,104809507
305000;243,4133272;5,829739135
306000;245,076801;6,51543437
307000;242,6472585;9,156232362
308000;236,1295243;10,46505777
309000;230,7059035;7,827000986
310000;230,2441337;5,868140318
311000;233,3740376;6,238236987
312000;238,063794;6,691721853
313000;243,2645692;7,613393444
314000;248,7415053;8,005113866
315000;253,1957153;7,750008194
316000;255,7204685;9,240869377
317000;256,2915312;11,1406059
318000;253,0148145;12,10926684
319000;247,2049625;11,27490933
320000;245,3194734;10,14358741
321000;248,3900454;9,223898971
322000;252,2511895;7,189957957
323000;256,1582009;5,618829736
324000;258,9991674;4,299689829
325000;260,802045;3,945341046
326000;262,7004447;4,203347564
327000;264,8888758;4,375151416
328000;267,2841432;4,647021384
329000;269,6415706;4,729736231
330000;270,8342661;4,769192305
331000;270,7602537;5,315639629
332000;272,678363;6,950606637
333000;277,6160162;8,876851192
334000;282,7744667;9,181918674
335000;285,1386334;8,893966703
336000;282,5791595;10,47593364
337000;274,7897196;13,87953941
338000;263,1228573;16,2935619
339000;250,6230279;14,53668691
340000;242,0645149;9,838120057
341000;238,7909027;8,922693858
342000;236,5256543;16,82719788
343000;226,8091582;23,41569134
344000;214,4093946;20,58479521
345000;207,2977469;12,31467495
346000;206,4687298;6,352740186
347000;209,0482573;5,827556569
348000;213,1678531;6,359618353
349000;217,1795955;5,567772672
350000;219,6103969;4,086072243
351000;220,0552526;3,690697082
352000;218,533491;4,541417135
353000;215,6812546;5,205054559
354000;212,5868201;4,942311974
355000;210,4219989;4,06523797
356000;209,1122002;4,193552863
