Time;global_anomaly;northern_anomaly;southern_anomaly
1984;0.04800471;-0.02962185;0.12563127
1985;0.04972978;-0.05202676;0.15148632
1986;0.09568697;0.062017497;0.12935646
1987;0.2430264;0.19571494;0.29033786
1988;0.28215173;0.3156612;0.24864225
1989;0.17925027;0.21736717;0.14113335
1990;0.36056247;0.46398687;0.25713807
1991;0.33889654;0.38519096;0.2926021
1992;0.124896795;0.09690911;0.15288447
1993;0.16565846;0.19244476;0.13887216
1994;0.23354977;0.32322568;0.14387386
1995;0.37686616;0.56863606;0.18509625
1996;0.2766894;0.29174882;0.26163
1997;0.4223085;0.53472054;0.3098965
1998;0.57731646;0.71429116;0.4403418
1999;0.32448497;0.47636312;0.1726068
2000;0.3310848;0.48707607;0.17509349
2001;0.48928034;0.62824297;0.35031772
2002;0.5434665;0.6687142;0.41821876
2003;0.5441702;0.7204716;0.36786872
2004;0.46737072;0.63348985;0.3012516
2005;0.60686255;0.8313995;0.38232562
2006;0.5725527;0.7947609;0.3503445
2007;0.5917013;0.8321025;0.35130018
2008;0.46564984;0.67170423;0.25959548
2009;0.5967817;0.70673966;0.48682365
2010;0.68037146;0.91949975;0.44124317
2011;0.53769773;0.725346;0.3500494
2012;0.5776071;0.7843316;0.3708825
2013;0.6235754;0.77667415;0.47047654
2014;0.67287165;0.907794;0.4379493
2015;0.82511437;1.1308405;0.5193882
2016;0.93292713;1.255193;0.61066127
2017;0.84517425;1.1153969;0.57495165
2018;0.762654;0.95966166;0.56564635
2019;0.8910726;1.1437434;0.63840175
2020;0.9227938;1.2757266;0.569861
2021;0.7618559;1.0779494;0.44576237
2022;0.8048863;1.0980067;0.51176584
