air_age;co2_ppm
1969;323.2
1968;323.7
1965;319.5
1965;318.8
1963;318.2
1962;318.7
1962;317
1962;319.4
1962;317
1953;311.9
1953;311
1953;312.7
1944;309.7
1939;311
1938;310.5
1932;307.8
1924;304.8
1924;304.1
1915;301.3
1912;300.7
1905;296.9
1905;298.5
1898;294.7
1892;294.6
1886;293.7
1882;291.9
1877;288.8
1869;287.4
1861;286.6
1854;284.9
1850;285.2
1840;283
