air_age;co2_ppm
1959;315.7
1954;313.6
1954;314.7
1954;314.1
1948;311.4
1939;309.2
1936;307.9
1929;305.2
1926;305
1905;299
1899;296.5
1891;294.7
1845;286.1
1825;285.1
1796;283.7
1794;281.6
1777;279.5
1760;276.7
1749;277.2
1747;276.9
1720;277.5
1692;276.5
1679;275.9
1647;277.2
1604;274.3
1589;278.7
1570;281.9
1547;282.8
1527;283.2
1499;282.4
1465;279.6
1446;281.7
1387;280
1387;280.4
1327;283.4
1246;281.7
1196;283.9
1146;283.8
1096;282.4
1046;280.3
1006;279.4
